(0.0010, 0.0080, 0.0190)	Architecture [11-34]	 Time 0.0300	 Loss 1.6803	 CELoss 1.6252	  RegLoss 0.0551	 s9 1.0079960823059082
(0.0020, 0.0110, 0.0260)	Architecture [11-39]	 Time 0.0400	 Loss 1.0743	 CELoss 1.0193	  RegLoss 0.0550	 s9 1.0077191591262817
(0.0010, 0.0110, 0.0250)	Architecture [11-44]	 Time 0.0390	 Loss 0.5567	 CELoss 0.5017	  RegLoss 0.0550	 s9 1.00764799118042
(0.0010, 0.0110, 0.0250)	Architecture [11-49]	 Time 0.0390	 Loss 0.8028	 CELoss 0.7477	  RegLoss 0.0550	 s9 1.0076090097427368
(0.0020, 0.0100, 0.0260)	Architecture [11-54]	 Time 0.0380	 Loss 0.9090	 CELoss 0.8540	  RegLoss 0.0550	 s9 1.0075584650039673
(0.0010, 0.0080, 0.0190)	Architecture [12-4]	 Time 0.0300	 Loss 0.6560	 CELoss 0.6010	  RegLoss 0.0550	 s9 1.007514238357544
(0.0020, 0.0100, 0.0270)	Architecture [12-9]	 Time 0.0400	 Loss 0.7746	 CELoss 0.7196	  RegLoss 0.0550	 s9 1.0074738264083862
(0.0020, 0.0050, 0.0110)	Architecture [12-14]	 Time 0.0190	 Loss 1.5013	 CELoss 1.4463	  RegLoss 0.0550	 s9 1.007644772529602
(0.0020, 0.0100, 0.0250)	Architecture [12-19]	 Time 0.0380	 Loss 0.6728	 CELoss 0.6177	  RegLoss 0.0550	 s9 1.0077464580535889
(0.0010, 0.0100, 0.0260)	Architecture [12-24]	 Time 0.0380	 Loss 0.6840	 CELoss 0.6290	  RegLoss 0.0551	 s9 1.007893443107605
(0.0010, 0.0110, 0.0280)	Architecture [12-29]	 Time 0.0420	 Loss 0.9815	 CELoss 0.9264	  RegLoss 0.0551	 s9 1.0079265832901
(0.0020, 0.0100, 0.0310)	Architecture [12-34]	 Time 0.0440	 Loss 0.7539	 CELoss 0.6988	  RegLoss 0.0551	 s9 1.0079151391983032
(0.0010, 0.0100, 0.0280)	Architecture [12-39]	 Time 0.0410	 Loss 0.8280	 CELoss 0.7730	  RegLoss 0.0551	 s9 1.0079355239868164
(0.0020, 0.0110, 0.0270)	Architecture [12-44]	 Time 0.0410	 Loss 0.6976	 CELoss 0.6426	  RegLoss 0.0551	 s9 1.007918119430542
(0.0010, 0.0090, 0.0190)	Architecture [12-49]	 Time 0.0310	 Loss 1.2226	 CELoss 1.1675	  RegLoss 0.0550	 s9 1.007799744606018
(0.0020, 0.0110, 0.0280)	Architecture [12-54]	 Time 0.0420	 Loss 0.8085	 CELoss 0.7535	  RegLoss 0.0550	 s9 1.0075842142105103
(0.0020, 0.0110, 0.0280)	Architecture [13-4]	 Time 0.0420	 Loss 1.2320	 CELoss 1.1770	  RegLoss 0.0550	 s9 1.0074173212051392
(0.0020, 0.0110, 0.0290)	Architecture [13-9]	 Time 0.0440	 Loss 1.0724	 CELoss 1.0174	  RegLoss 0.0549	 s9 1.0070955753326416
(0.0010, 0.0100, 0.0260)	Architecture [13-14]	 Time 0.0390	 Loss 0.8208	 CELoss 0.7660	  RegLoss 0.0549	 s9 1.0067697763442993
(0.0020, 0.0100, 0.0280)	Architecture [13-19]	 Time 0.0410	 Loss 1.7887	 CELoss 1.7338	  RegLoss 0.0549	 s9 1.0065499544143677
(0.0020, 0.0100, 0.0260)	Architecture [13-24]	 Time 0.0380	 Loss 0.6675	 CELoss 0.6127	  RegLoss 0.0548	 s9 1.006306529045105
(0.0020, 0.0100, 0.0280)	Architecture [13-29]	 Time 0.0410	 Loss 0.6258	 CELoss 0.5710	  RegLoss 0.0548	 s9 1.00611412525177
(0.0020, 0.0100, 0.0260)	Architecture [13-34]	 Time 0.0390	 Loss 0.7466	 CELoss 0.6918	  RegLoss 0.0548	 s9 1.0059651136398315
(0.0020, 0.0100, 0.0260)	Architecture [13-39]	 Time 0.0390	 Loss 0.9823	 CELoss 0.9275	  RegLoss 0.0547	 s9 1.005834698677063
(0.0010, 0.0110, 0.0280)	Architecture [13-44]	 Time 0.0410	 Loss 0.6695	 CELoss 0.6148	  RegLoss 0.0547	 s9 1.0056400299072266
(0.0020, 0.0120, 0.0300)	Architecture [13-49]	 Time 0.0450	 Loss 0.7078	 CELoss 0.6531	  RegLoss 0.0547	 s9 1.0055197477340698
(0.0020, 0.0100, 0.0280)	Architecture [13-54]	 Time 0.0410	 Loss 0.8393	 CELoss 0.7846	  RegLoss 0.0547	 s9 1.0055198669433594
(0.0020, 0.0110, 0.0270)	Architecture [14-4]	 Time 0.0410	 Loss 1.0476	 CELoss 0.9929	  RegLoss 0.0547	 s9 1.005492925643921
(0.0020, 0.0080, 0.0190)	Architecture [14-9]	 Time 0.0300	 Loss 0.5966	 CELoss 0.5419	  RegLoss 0.0547	 s9 1.005539894104004
(0.0020, 0.0120, 0.0270)	Architecture [14-14]	 Time 0.0420	 Loss 0.6175	 CELoss 0.5628	  RegLoss 0.0547	 s9 1.0056015253067017
